day,temperatureMax,temperatureMin,daylight
2013-04-17,17.95,9.66,50379
2013-01-30,12.56,7.51,32648
2013-12-27,10.99,7.47,28267
2013-01-06,8.61,6.91,28965
2013-11-20,6.38,-1.27,31086
2013-07-28,23.14,15.34,56225
2013-01-25,2.98,-1.19,31701
2013-06-27,19.23,12.2,59795
2013-06-09,14.17,10.29,59477
2013-11-23,7.41,3.41,30596
2013-10-09,16.48,9.04,39994
2013-09-18,15.18,10.77,44922
2013-01-21,1.17,-1.98,31001
2013-10-15,12.58,8.75,38601
2013-07-22,32.16,17.21,57233
2013-05-24,8.21,5.43,57694
2013-12-10,9.03,2.06,28588
2013-10-01,17.28,11.76,41867
2013-11-14,9.62,5.18,32158
2013-06-25,18.76,11.26,59855
2013-02-23,1.74,0.19,37878
2013-09-09,10.63,9.2,47027
2013-12-28,7.81,2.86,28307
2014-01-12,8.91,0.38,29618
2014-01-24,8.01,2.76,31475
2014-01-14,6.82,2.05,29884
2014-02-23,11.94,8.67,37818
2014-01-19,9.37,3.34,30630
2014-01-28,9.12,5.03,32211
2014-03-10,12.4,5.04,41351
2014-02-24,14.23,7.99,38050
2014-02-13,7.37,4.09,35542
2014-03-07,15.97,6.84,40638
2014-03-06,13.38,5.82,40401
2014-02-06,9.81,5.86,34024
2014-02-11,7.51,2.77,35102
2014-01-29,5.46,3.72,32403
2014-03-02,10.05,2.54,39455
2014-01-22,10.02,6.12,31126
2014-03-26,8.48,2.51,45168
2014-01-31,8.83,1.97,32795
2014-02-16,9.98,2.34,36214
2014-01-16,10.72,7.27,30170
2014-02-22,11.63,4.72,37586
2014-01-27,7.95,2.56,32023
2014-02-01,9.72,4.83,32994
2014-03-17,13.57,6.41,43021
2014-03-14,16.38,4.22,42305
2014-03-18,13.13,7.66,43260
2014-02-19,10.13,5.19,36896
2014-03-08,15.92,7.91,40876
2014-02-05,9.64,5.54,33814
2014-02-09,8.18,4.78,34666
2014-01-05,11.96,1.72,28845
2014-02-10,8.78,4.08,34882
2014-01-08,11.62,7.37,29144
2014-01-17,8.47,6.43,30319
2014-01-13,9.72,5.42,29748
2014-01-15,11.19,6.41,30024
2014-02-14,12.02,3.47,35765
2014-03-25,8.86,5.66,44930
2014-03-30,19.82,8.53,46117
2014-03-04,9.7,1.4,39928
2014-03-21,12.12,6.93,43976
2014-03-19,15.08,7.48,43499
2014-01-25,11.77,5.68,31654
2014-01-02,10.75,6.54,28597
2014-03-03,8.08,3.18,39692
2014-01-06,12.57,9.34,28939
2014-02-18,10.13,5.85,36668
2014-03-01,9.21,3.05,39220
2014-02-04,8.88,4.22,33605
2014-03-16,18.76,7.14,42782
2014-01-23,8.44,3.35,31299
2014-03-12,15.37,3.73,41829
2014-03-31,16.37,10.98,46355
2014-02-20,12.5,6.34,37125
2014-01-01,11.34,6.59,28527
2014-01-03,10.49,7.01,28674
2014-03-20,13.36,7.35,43738
2014-01-09,12.01,4.86,29255
2014-03-22,10.68,4.39,44215
2014-02-08,9.13,6.81,34450
2014-02-07,9.81,4.13,34236
2014-03-13,17.11,3.94,42067
2014-01-11,8.59,1.02,29492
2014-01-21,7.66,1.97,30957
2014-01-18,9.99,7.58,30472
2014-01-04,9.58,4.06,28756
2014-03-23,10.08,2.48,44453
2014-02-25,11.43,6.79,38283
2014-02-03,7.99,4.97,33400
2014-02-28,7.35,3.43,38985
2014-02-21,10.15,3.59,37356
2014-01-07,11.38,8.98,29039
2014-03-15,18.08,7.72,42544
2014-02-26,11.29,4.17,38517
2014-01-20,8.44,1.3,30791
2014-03-29,18.47,7.83,45881
2014-03-11,11.92,6.19,41590
2014-02-02,9.3,5.79,33196
2014-01-10,10.14,2.68,29370
2014-03-05,12.76,1.33,40164
2014-02-17,10.67,4.89,36441
2014-01-30,5.94,3.0,32597
2014-03-27,10.04,2.71,45406
2014-03-24,10.2,0.12,44691
2014-03-28,12.43,3.85,45643
2014-01-26,9.03,3.26,31837
2014-02-27,10.31,3.93,38750
2014-03-09,18.97,7.65,41114
2014-02-12,8.83,3.03,35321
2014-02-15,9.9,5.38,35989
