day,temperatureMax,temperatureMin,daylight
2012-05-21,16.22,9.32,57273
2012-01-15,6.27,1.16,29957
2012-04-04,10.18,3.57,47423
2012-11-23,10.7,5.12,30555
2012-02-07,2.63,-2.83,34133
2012-01-16,6.56,0.83,30099
2012-10-22,14.73,12.02,36942
2012-01-23,8.4,3.46,31215
2012-08-23,22.04,12.96,50853
2012-10-01,16.24,12.37,41807
2012-08-01,22.57,13.69,55445
2012-11-15,9.07,6.45,31923
2012-06-11,13.28,10.97,59623
2012-02-22,10.47,7.48,37475
2012-02-21,11.65,5.72,37245
2012-06-29,20.96,13.96,59697
2012-03-24,18.83,6.42,44814
2012-02-10,1.21,-2.96,34778
2012-08-27,20.99,12.62,49954
2012-08-19,28.88,17.97,51738
2012-11-21,11.87,6.06,30876
2012-06-19,20.35,10.1,59897
2012-03-05,9.37,4.04,40287
2012-10-08,12.22,9.51,40167
2012-01-07,10.34,7.6,28990
2012-04-15,9.12,3.3,49981
2012-02-16,10.61,5.47,36107
2012-08-06,20.95,14.77,54473
2012-08-15,22.57,17.38,52605
2012-09-30,16.46,6.42,42041
2012-12-10,5.59,1.55,28569
2012-01-18,11.92,4.51,30397
2012-06-12,12.87,10.46,59678
2012-10-03,14.34,9.35,41337
2012-09-27,16.61,10.57,42747
2012-10-19,13.21,11.98,37623
2012-11-09,11.27,8.13,33076
2012-12-11,2.7,-2.49,28501
2012-08-11,22.91,15.21,53451
2012-04-13,12.02,3.97,49522
2012-11-10,10.31,5.2,32877
2012-12-15,11.17,6.91,28290
2012-05-01,17.24,11.28,53518
2012-04-03,12.92,5.04,47187
2012-07-21,19.89,11.83,57349
2012-08-24,20.27,14.07,50630
2012-05-07,14.48,5.2,54748
2012-07-28,21.09,14.93,56179
2012-10-15,13.03,4.09,38542
2012-07-02,17.58,12.47,59522
2012-02-20,8.44,-1.9,37015
2012-11-22,13.09,6.56,30713
2012-10-28,9.17,1.43,35604
2012-12-31,9.24,4.22,28479
2012-01-04,9.33,5.27,28716
2012-10-25,13.61,10.09,36268
2012-10-23,14.05,12.46,36717
2012-04-06,12.28,0.34,47892
2012-11-24,9.91,3.64,30401
2012-02-26,12.67,3.26,38404
2012-09-02,18.35,12.57,48586
2012-03-21,15.62,7.44,44099
2012-08-18,29.86,20.54,51956
2012-04-29,14.89,5.99,53094
2012-01-10,11.29,9.16,29314
2012-12-08,6.46,3.17,28723
2012-05-24,25.45,15.36,57731
2012-05-04,9.02,7.38,54142
2012-07-27,23.79,15.93,56356
2012-06-10,17.22,8.91,59562
2012-06-07,17.29,12.6,59347
2012-06-20,21.16,11.47,59903
2012-02-17,11.83,7.13,36332
2012-03-13,10.89,6.36,42191
2012-07-06,18.7,14.78,59211
2012-12-17,9.1,5.62,28223
2012-12-23,13.08,9.34,28177
2012-02-29,12.74,9.61,39107
2012-07-03,18.81,15.43,59453
2012-11-12,12.18,4.52,32487
2012-07-26,26.44,15.93,56528
2012-05-20,12.18,9.06,57113
2012-07-23,27.18,12.47,57031
2012-01-27,8.68,2.93,31933
2012-06-24,19.88,11.65,59872
2012-06-02,17.54,11.83,58879
2012-01-26,9.54,3.15,31749
2012-08-16,21.67,16.02,52390
2012-02-11,1.93,-5.64,34995
2012-06-03,12.19,10.97,58983
2012-08-10,24.99,14.5,53659
2012-02-15,10.61,6.93,35882
2012-07-09,18.0,14.38,58922
2012-06-17,19.44,12.46,59864
2012-04-20,12.46,5.34,51117
2012-11-08,12.34,7.81,33276
2012-09-04,24.79,13.71,48124
2012-10-16,14.74,9.06,38311
2012-07-10,17.46,13.28,58816
2012-07-20,17.77,13.12,57503
2012-08-08,22.8,15.03,54070
2012-01-14,6.01,-1.79,29819
2012-10-05,15.6,9.16,40869
2012-12-06,4.84,-2.82,28900
2012-03-14,12.41,5.03,42429
2012-01-03,12.41,5.96,28637
2012-09-19,16.3,7.35,44627
2012-01-20,10.05,4.91,30713
2012-03-30,17.12,7.81,46241
2012-07-18,18.52,14.91,57799
2012-03-09,10.86,6.74,41238
2012-11-27,8.47,6.42,29961
2012-06-15,17.59,12.91,59807
2012-10-20,14.01,9.57,37395
2012-01-09,12.33,7.74,29200
2012-09-05,19.97,12.07,47894
2012-09-11,17.82,11.73,46500
2012-12-25,9.14,6.46,28214
2012-10-29,12.4,7.66,35385
2012-03-01,15.11,6.49,39343
2012-02-06,4.08,1.39,33923
2012-11-02,9.78,4.61,34521
2012-04-17,13.77,5.16,50438
2012-06-18,18.87,11.17,59883
2012-10-09,14.23,9.07,39933
2012-12-24,12.3,7.57,28192
2012-12-27,7.97,6.42,28277
2012-10-24,16.18,13.08,36492
2012-12-12,1.8,-3.83,28439
2012-07-05,22.33,15.2,59297
2012-10-31,12.36,6.45,34951
2012-09-17,18.72,13.29,45097
2012-09-20,17.38,9.07,44392
2012-03-07,10.75,5.14,40762
2012-09-01,20.53,13.11,48815
2012-10-12,14.72,8.51,39236
2012-08-12,25.13,16.03,53242
2012-08-09,25.92,13.33,53865
2012-08-20,24.54,16.96,51518
2012-04-10,12.9,5.94,48827
2012-03-12,13.86,5.43,41952
2012-03-17,10.75,7.37,43145
2012-05-13,16.26,5.49,55898
2012-12-18,7.96,4.66,28200
2012-08-26,21.01,14.26,50180
2012-06-06,18.13,12.52,59263
2012-02-03,1.54,-2.19,33301
2012-12-03,10.22,2.94,29207
2012-01-28,6.46,3.27,32121
2012-12-22,13.07,6.04,28169
2012-12-30,10.9,5.44,28419
2012-04-24,12.48,6.99,52008
2012-07-08,18.77,14.28,59023
2012-09-16,18.31,12.98,45331
2012-09-15,21.12,9.69,45565
2012-12-28,12.34,5.45,28318
2012-11-30,4.37,-0.89,29562
2012-02-23,16.98,10.34,37706
2012-01-25,9.76,8.59,31568
2012-12-05,3.89,-0.77,28998
2012-01-24,9.77,1.94,31390
2012-01-12,12.4,5.08,29556
2012-04-01,12.88,2.43,46715
2012-10-18,16.04,12.15,37852
2012-09-26,15.14,10.07,42981
2012-08-13,22.68,15.26,53031
2012-05-30,24.11,12.5,58538
2012-05-23,25.37,13.47,57583
2012-09-21,16.32,10.34,44158
2012-05-31,19.54,13.7,58656
2012-12-04,7.73,1.21,29100
2012-06-01,20.08,13.98,58770
2012-03-11,15.55,6.82,41714
2012-08-05,20.69,12.98,54671
2012-10-26,10.11,4.19,36046
2012-12-01,5.73,-1.35,29439
2012-07-31,20.19,11.52,55631
2012-07-04,21.44,15.95,59377
2012-04-07,10.48,6.86,48126
2012-05-06,8.37,5.72,54548
2012-08-04,21.04,14.36,54867
2012-04-11,12.91,3.57,49059
2012-08-31,17.72,7.78,49043
2012-03-22,15.81,6.14,44338
2012-07-13,19.26,14.21,58468
2012-02-19,6.35,0.62,36787
2012-06-16,17.47,12.57,59838
2012-04-27,14.84,9.28,52664
2012-10-17,16.6,8.8,38082
2012-04-02,15.04,3.98,46951
2012-05-09,15.18,10.78,55142
2012-01-22,11.8,6.0,31044
2012-08-22,21.48,13.16,51076
2012-10-21,12.41,10.19,37168
2012-07-15,18.26,12.44,58213
2012-11-05,9.19,2.94,33891
2012-06-21,19.08,11.52,59905
2012-09-07,25.76,11.46,47431
2012-12-20,9.57,6.53,28171
2012-02-25,12.11,6.97,38170
2012-03-25,13.79,4.4,45054
2012-10-04,14.99,7.19,41102
2012-02-28,13.86,9.73,38872
2012-03-08,12.03,3.26,41000
2012-09-06,20.76,8.67,47662
2012-01-13,6.41,1.2,29684
2012-12-09,8.66,3.86,28644
2012-05-18,15.77,9.11,56782
2012-08-07,19.32,11.49,54272
2012-02-08,0.73,-2.1,34347
2012-02-02,1.41,-1.76,33098
2012-12-19,7.44,3.07,28182
2012-03-29,19.16,6.89,46003
2012-02-14,8.42,4.54,35659
2012-06-08,15.17,12.28,59424
2012-07-25,29.37,15.74,56699
2012-08-30,16.92,11.25,49272
2012-05-02,13.81,9.73,53728
2012-05-22,24.43,11.44,57430
2012-04-22,14.03,4.76,51565
2012-11-16,9.19,5.91,31740
2012-02-13,6.58,1.09,35436
2012-02-18,10.76,3.2,36559
2012-06-25,21.15,12.11,59848
2012-06-27,22.66,17.56,59785
2012-08-25,20.93,15.04,50405
2012-03-16,9.75,8.5,42906
2012-08-29,19.69,13.66,49501
2012-11-07,9.93,4.97,33478
2012-03-23,19.48,6.74,44576
2012-12-14,10.34,1.93,28334
2012-01-30,3.98,1.24,32504
2012-09-12,17.92,8.24,46266
2012-06-05,15.0,7.54,59176
2012-10-07,13.64,5.27,40401
2012-05-27,25.98,13.55,58155
2012-10-11,14.88,9.15,39467
2012-04-05,8.92,4.61,47657
2012-07-16,17.06,13.05,58080
2012-01-01,12.59,7.71,28495
2012-11-19,11.23,3.49,31212
2012-07-17,22.44,13.92,57941
2012-11-28,6.89,3.45,29824
2012-07-19,20.18,13.77,57653
2012-11-11,9.87,2.1,32682
2012-10-27,7.68,2.49,35824
2012-05-08,17.24,10.43,54946
2012-05-28,25.58,13.89,58286
2012-07-24,28.32,14.21,56867
2012-01-17,5.79,-1.45,30247
2012-09-13,17.64,8.62,46032
